FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Co1 Cr1 Mo1 Nb1 Ti0.5,18.20501454,16.06210334,,,,28.69962637,7.393306221,,,29.63994952,,,,,,,,,,,,,,,,,BCC+Laves,CAST,other,8.2,C,25,,1609.2,,
Cr1 Hf1 Nb1 Ti1 Zr1,,11.24279163,,,,20.08852217,10.35000205,,,,,,,,,,,,19.72483313,38.59385102,,,,,,,BCC+Laves,ANNEAL,other,8.2,C,25,1457,1908,,
Cr1 Hf1 Nb1 Ti1 Zr1,,11.24279163,,,,20.08852217,10.35000205,,,,,,,,,,,,19.72483313,38.59385102,,,,,,,BCC+Laves,ANNEAL,other,8.2,C,25,1420,1885,4.2,
Cr1 Hf1 Nb1 Ti1 Zr1,,11.24279163,,,,20.08852217,10.35000205,,,,,,,,,,,,19.72483313,38.59385102,,,,,,,BCC+Laves,ANNEAL,other,8.2,C,25,1328,1884,,
Cr1 Hf1 Nb1 Ti1 Zr1,,11.24279163,,,,20.08852217,10.35000205,,,,,,,,,,,,19.72483313,38.59385102,,,,,,,BCC+Laves,ANNEAL,other,8.2,C,25,1322,1726,,
Cr1 Hf1 Nb1 Ti1 Zr1,,11.24279163,,,,20.08852217,10.35000205,,,,,,,,,,,,19.72483313,38.59385102,,,,,,,BCC+Laves,CAST,other,8.2,C,25,1375,2130,3,
Hf1 Nb1 Ti1 V1 Zr1,,,,,,20.13440854,10.37364362,,,,,,11.04005167,,,,,,19.76988876,38.68200742,,,,,,,BCC+Laves,ANNEAL,other,8.1,C,25,1157,1468,,
Hf1 Nb1 Ti1 V1 Zr1,,,,,,20.13440854,10.37364362,,,,,,11.04005167,,,,,,19.76988876,38.68200742,,,,,,,BCC,ANNEAL,BCC,8.1,C,25,1253,1393,,95
Hf1 Nb1 Ti1 V1 Zr1,,,,,,20.13440854,10.37364362,,,,,,11.04005167,,,,,,19.76988876,38.68200742,,,,,,,BCC,ANNEAL,BCC,8.1,C,25,1140,1463,,95
Hf1 Nb1 Ti1 V1 Zr1,,,,,,20.13440854,10.37364362,,,,,,11.04005167,,,,,,19.76988876,38.68200742,,,,,,,BCC,ANNEAL,BCC,8.1,C,25,1120,1376,30,95
Hf1 Nb1 Ti1 V1 Zr1,,,,,,20.13440854,10.37364362,,,,,,11.04005167,,,,,,19.76988876,38.68200742,,,,,,,BCC+Laves,CAST,other,8.1,C,25,1170,1463,29.6,
Cr1 Ta1 Ti0.17 V1 W1,,10.92666532,,,,,1.710026485,,,,,,10.70517318,,,,,38.02519879,,,38.63293623,,,,,,BCC+Laves,POWDER,other,12.6,C,25,2034,,1.5,
Cr1 Ta1 Ti0.17 V1 W1,,10.92666532,,,,,1.710026485,,,,,,10.70517318,,,,,38.02519879,,,38.63293623,,,,,,BCC+Laves,POWDER,other,12.6,C,1200,750,,1.5,
Cr1 Ta1 Ti0.3 V1 W1,,10.78562522,,,,,2.978741764,,,,,,10.56699208,,,,,37.53437405,,,38.13426689,,,,,,BCC+Laves,POWDER,other,12.3,C,25,2050,,1.5,
Cr1 Ta1 Ti0.3 V1 W1,,10.78562522,,,,,2.978741764,,,,,,10.56699208,,,,,37.53437405,,,38.13426689,,,,,,BCC+Laves,POWDER,other,12.3,C,1200,586,,1.5,
Cr1 Ta1 V1 W1,,11.11676494,,,,,,,,,,,10.89141934,,,,,38.6867525,,,39.30506322,,,,,,BCC+Laves,POWDER,other,13,C,25,2327,,1.5,
Cr1 Ta1 V1 W1,,11.11676494,,,,,,,,,,,10.89141934,,,,,38.6867525,,,39.30506322,,,,,,BCC+Laves,POWDER,other,13,C,1200,979,,1.5,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,24.07653969,7.16992075,,,,,,,,,,,46.89257641,9.834510524,12.02645263,,,,,,,BCC,CAST,BCC,10.4,C,60,795,,,122
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,24.07653969,7.16992075,,,,,,,,,,,46.89257641,9.834510524,12.02645263,,,,,,,BCC,CAST,BCC,10.4,C,100,765,,,122
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,24.07653969,7.16992075,,,,,,,,,,,46.89257641,9.834510524,12.02645263,,,,,,,BCC,CAST,BCC,10.4,C,200,650,,,122
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,24.07653969,7.16992075,,,,,,,,,,,46.89257641,9.834510524,12.02645263,,,,,,,BCC,CAST,BCC,10.4,C,300,590,,,122
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,24.07653969,7.16992075,,,,,,,,,,,46.89257641,9.834510524,12.02645263,,,,,,,BCC,CAST,BCC,10.4,C,25,845,,,122
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,,,,,,24.97301932,12.86659113,,,12.8956214,0.75492137,,,,,,,,24.52089978,23.98894699,,,,,,,BCC+Sec.,CAST,other,7.7,C,25,1350,2150,,
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,,,,,,24.60157424,12.67521532,,,12.70381379,2.231078335,,,,,,,,24.15617946,23.63213886,,,,,,,BCC+Sec.,CAST,other,7.5,C,25,1370,1950,,
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,,,,,,24.24101686,12.48944905,,,12.5176284,3.663966581,,,,,,,,23.80214972,23.28578939,,,,,,,BCC+Sec.,CAST,other,7.2,C,25,1600,1900,,
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,,,,,,23.89087538,12.30904927,,,12.33682159,5.055461053,,,,,,,,23.45834732,22.94944539,,,,,,,BCC+Sec.,CAST,other,7,C,25,1550,1900,,
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,,,,,,23.55070489,12.13378674,,,12.16116362,6.407329905,,,,,,,,23.12433538,22.62267946,,,,,,,BCC+Sec.,CAST,other,6.8,C,25,1650,2000,,
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,,,,,,25.16298004,12.96446263,,,12.99371372,,,,,,,,,24.70742138,24.17142223,,,,,,,BCC+Sec.,CAST,other,7.9,C,25,1150,1500,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,1000,368,394,,126
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,1200,60,,,126
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,25,1260,,,126
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,,,,,,4.41197509,16.00800291,,,,,,,,,,,8.59296567,24.00959248,46.97746385,,,,,,,BCC,WROUGHT,BCC,8.5,T,25,540,995,,92
Al0.25 Nb1 Ta1 Ti1 Zr1,,,,,,22.1367889,11.40530939,1.607255823,,,,,,,,,,43.11462852,21.73601737,,,,,,,,BCC+B2,OTHER,other,8.6,C,1000,366,408,,
Al0.25 Nb1 Ta1 Ti1 Zr1,,,,,,22.1367889,11.40530939,1.607255823,,,,,,,,,,43.11462852,21.73601737,,,,,,,,BCC+B2,OTHER,other,8.6,C,25,1745,1830,,
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,24.19824086,12.46741002,3.513857742,,12.49553963,,,,,,,,23.5648036,23.76014815,,,,,,,,BCC+B2,OTHER,other,7.6,C,1000,579,646,,
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,24.19824086,12.46741002,3.513857742,,12.49553963,,,,,,,,23.5648036,23.76014815,,,,,,,,BCC+B2,OTHER,other,7.6,C,25,2350,2460,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,,,,23.37681291,12.04419417,6.789154262,,12.0713689,,,,,,,,22.76487817,22.95359159,,,,,,,,BCC+B2,OTHER,other,7.1,C,25,2197,2370,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,,,,,,26.40755395,13.60569161,7.669349887,,13.63638948,,,,,,,,25.71628351,12.96473156,,,,,,,,B2,OTHER,other,7.2,C,1000,935,1019,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,,,,,,26.40755395,13.60569161,7.669349887,,13.63638948,,,,,,,,25.71628351,12.96473156,,,,,,,,B2,OTHER,other,7.2,C,25,,1320,,
Al1 Nb1 Ta0.5 Ti1 Zr0.5,,,,,,30.57717688,15.75396342,8.880302527,,,,,,,,,,29.77675824,15.01179893,,,,,,,,B2,OTHER,other,6.9,C,1000,535,542,,
Al1 Nb1 Ta0.5 Ti1 Zr0.5,,,,,,30.57717688,15.75396342,8.880302527,,,,,,,,,,29.77675824,15.01179893,,,,,,,,B2,OTHER,other,6.9,C,25,1352,1357,,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,ANNEAL,other,7.5,C,400,1273,1335,14.5,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,ANNEAL,other,7.5,C,600,597,651,50,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,ANNEAL,other,7.5,C,800,102,107,50,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,ANNEAL,other,7.5,C,25,1483,1611,9.5,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,CAST,other,7.5,C,600,920,1252,50,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,CAST,other,7.5,C,800,371,427,50,
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,19.53976211,10.06727007,,,,2.953384167,,10.71399653,,,,,,19.18600799,37.53957913,,,,,,,BCC+Laves+Sec.,CAST,other,7.5,C,25,1540,1643,16.8,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1900,,7.9,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC+HCP,OTHER,other,9.9,T,25,1520,,1.7,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC+BCC+HCP,OTHER,other,9.9,T,25,795,,5,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,830,840,9.2,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,1202,1295,4.7,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC+BCC,WROUGHT,other,9.9,T,25,1303,1334,,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,1145,1262,9.7,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,958,974,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,944,959,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,940,953,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,T,25,940,1080,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,C,25,905,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,C,25,890,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,T,25,828,862,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,T,25,827,856,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,T,25,820,869,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,T,25,803,810,,107
Al0.2 Mo1 Ta1 Ti1 V1,,,,,,,12.56010836,1.415993665,,25.17689425,,,13.366976,,,,,47.48002773,,,,,,,,,BCC,CAST,BCC,9.3,C,25,1021,1249,,183
Al0.6 Mo1 Ta1 Ti1 V1,,,,,,,12.21420366,4.130991829,,24.48352395,,,12.99885021,,,,,46.17243035,,,,,,,,,BCC,CAST,BCC,8.7,C,25,962,1033,,173
Al1 Mo1 Ta1 Ti1 V1,,,,,,,11.88684071,6.700456183,,23.82732084,,,12.6504573,,,,,44.93492497,,,,,,,,,BCC,CAST,BCC,8.2,C,25,,735,,165
Mo1 Ta1 Ti1 V1,,,,,,,12.74051322,,,25.53851805,,,13.55897015,,,,,48.16199858,,,,,,,,,BCC,CAST,BCC,9.6,C,25,1221,1454,,189
Hf1 Nb1 Ta1 Zr1,,,,,,17.09188179,,,,,,,,,,,,33.28893533,16.78244488,32.836738,,,,,,,BCC+HCP,ANNEAL,other,11.1,C,25,2310,,0.3,
Hf1 Nb1 Ta1 Zr1,,,,,,17.09188179,,,,,,,,,,,,33.28893533,16.78244488,32.836738,,,,,,,BCC+HCP,ANNEAL,other,11.1,C,25,2100,2200,3.5,
Hf1 Nb1 Ta1 Zr1,,,,,,17.09188179,,,,,,,,,,,,33.28893533,16.78244488,32.836738,,,,,,,BCC+HCP,ANNEAL,other,11.1,C,25,2020,2030,1.7,
Hf1 Nb1 Ta1 Zr1,,,,,,17.09188179,,,,,,,,,,,,33.28893533,16.78244488,32.836738,,,,,,,BCC+HCP,ANNEAL,other,11.1,C,25,1950,2010,2.2,
Hf1 Nb1 Ta1 Zr1,,,,,,17.09188179,,,,,,,,,,,,33.28893533,16.78244488,32.836738,,,,,,,BCC,CAST,BCC,11.1,C,25,1315,1800,21.6,105
Hf1 Ta0.4 Ti1 Zr1,,,,,,,12.27484241,,,,,,,,,,,18.56066337,23.39315653,45.77133769,,,,,,,BCC+HCP,CAST,other,9.2,T,25,400,1100,,
Hf1 Ta0.5 Ti1 Zr1,,,,,,,11.73052652,,,,,,,,,,,22.17201113,22.35580988,43.74165247,,,,,,,BCC+HCP,CAST,other,9.4,T,25,700,1100,,
Hf1 Ta0.6 Ti1 Zr1,,,,,,,11.23243517,,,,,,,,,,,25.4766751,21.40655704,41.88433269,,,,,,,BCC+HCP,CAST,other,9.6,T,25,800,1100,,
Hf1 Ta1 Ti1 Zr1,,,,,,,9.601648049,,,,,,,,,,,36.29638396,18.29863458,35.80333341,,,,,,,BCC,CAST,BCC,10.2,T,25,1500,1500,,107
Mo1 Nb1 Ta1 Ti0.25 W1,,,,,,16.42578399,2.11572181,,,16.96396329,,,,,,,,31.99161261,,,32.50291831,,,,,,BCC,CAST,BCC,13.1,C,25,1109,1197,,242
Mo1 Nb1 Ta1 Ti0.5 W1,,,,,,16.08546039,4.143772914,,,16.61248923,,,,,,,,31.32878272,,,31.82949474,,,,,,BCC,CAST,BCC,12.6,C,25,1211,1578,,234
Mo1 Nb1 Ta1 Ti0.75 W1,,,,,,15.75895278,6.08949201,,,16.27528383,,,,,,,,30.69286148,,,31.1834099,,,,,,BCC,CAST,BCC,12.2,C,25,1304,1593,,228
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,25,1455,1910,,222
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,CAST,BCC,13.7,C,25,996,1148,,250
Mo1 Nb1 Ta1 Ti1 V1,,,,,,19.82574107,10.21461206,,,20.47531759,,,10.87080384,,,,,38.61352545,,,,,,,,,BCC,CAST,BCC,9.4,C,25,1400,2450,,171
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,600,973,1590,,209
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,800,791.3,1180,,209
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,1000,752.8,1105,,209
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,1200,659,696,,209
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,25,1515,2135,,209
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,600,689,1681,,222
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,800,674,1618,,222
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,1000,620,1426,,222
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,1200,586,814,,222
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,25,1343,2005,,222
Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,18.25641832,9.406066084,,,18.85457707,,,,,,,,35.55704025,17.92589827,,,,,,,,BCC+BCC,CAST,other,9.1,C,25,1390,,,
Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,18.25641832,9.406066084,,,18.85457707,,,,,,,,35.55704025,17.92589827,,,,,,,,BCC+BCC,ANNEAL,other,9.1,C,25,1100,1200,,
Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,18.25641832,9.406066084,,,18.85457707,,,,,,,,35.55704025,17.92589827,,,,,,,,BCC+BCC,CAST,other,9.1,C,25,1375,1450,,
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,POWDER,BCC,12.4,C,25,2612,3472,,229
Nb1 Ta1 Ti1 V1,,,,,,24.93029896,12.84458076,,,,,,13.66972305,,,,,48.55539724,,,,,,,,,BCC,CAST,BCC,9.2,C,25,965,,,134
Nb1 Ta1 Ti1 V1 W1,,,,,,16.69460901,8.601391187,,,,,,9.153948856,,,,,32.5151886,,,33.03486235,,,,,,BCC,CAST,BCC,11.1,C,25,1420,1800,20,187
Nb1 Ta1 V1 W1,,,,,,18.26571458,,,,,,,10.01541377,,,,,35.57514608,,,36.14372557,,,,,,BCC,CAST,BCC,12.9,C,25,1530,1700,12,206
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,,18.59669955,,,,33.2284208,34.23987296,4.825141811,,,,,9.109864877,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.8,C,25,1340,1700,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,,18.59669955,,,,33.2284208,34.23987296,4.825141811,,,,,9.109864877,,,,,,,,,,,,,,BCC,CAST,BCC,5.8,C,25,1240,,,134
Al1 Cr0.5 Nb1 Ti1 V1,,10.62465518,,,,37.96808272,19.56190359,11.02678845,,,,,20.81857006,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.6,C,600,1005,1045,,119
Al1 Cr0.5 Nb1 Ti1 V1,,10.62465518,,,,37.96808272,19.56190359,11.02678845,,,,,20.81857006,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.6,C,800,640,685,,119
Al1 Cr0.5 Nb1 Ti1 V1,,10.62465518,,,,37.96808272,19.56190359,11.02678845,,,,,20.81857006,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.6,C,1000,40,80,,119
Al1 Cr0.5 Nb1 Ti1 V1,,10.62465518,,,,37.96808272,19.56190359,11.02678845,,,,,20.81857006,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.6,C,25,1300,1430,,119
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,26.27827103,,,,31.31817515,16.13574032,9.095505156,,,,,17.17230834,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.9,C,600,1370,1480,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,26.27827103,,,,31.31817515,16.13574032,9.095505156,,,,,17.17230834,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.9,C,800,970,1045,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,26.27827103,,,,31.31817515,16.13574032,9.095505156,,,,,17.17230834,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.9,C,1000,75,105,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,26.27827103,,,,31.31817515,16.13574032,9.095505156,,,,,17.17230834,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.9,C,25,1700,1700,,
Al1 Cr1 Nb1 Ti1 V1,,19.20847602,,,,34.32153768,17.68313181,9.967749443,,,,,18.81910504,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.8,C,600,1015,1060,,
Al1 Cr1 Nb1 Ti1 V1,,19.20847602,,,,34.32153768,17.68313181,9.967749443,,,,,18.81910504,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.8,C,800,860,895,,
Al1 Cr1 Nb1 Ti1 V1,,19.20847602,,,,34.32153768,17.68313181,9.967749443,,,,,18.81910504,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.8,C,1000,65,95,,
Al1 Cr1 Nb1 Ti1 V1,,19.20847602,,,,34.32153768,17.68313181,9.967749443,,,,,18.81910504,,,,,,,,,,,,,,BCC+Laves,ANNEAL,other,5.8,C,25,1550,1570,,
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,600,780,1005,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,800,560,700,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,1000,110,,,104
Al1 Nb1 Ti1 V1,,,,,,42.48160697,21.88736014,12.3376178,,,,,23.29341509,,,,,,,,,,,,,,BCC,ANNEAL,BCC,5.5,C,25,1000,1280,,104
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+B2+Sec.,WROUGHT,other,7.6,T,25,900,1074,25,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,370,670,56,220
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,ANNEAL,other,7.8,T,25,250,730,50,
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,7.8,T,25,330,870,75,
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,7.8,T,25,280,800,65,
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,7.8,T,25,350,830,63,
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,7.8,T,25,298,1400,45,
Co0.2 Cr0.2 Fe1 Mn0.6,10.61917084,9.369188854,50.31371178,,29.69792853,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,7.8,T,25,400,1200,42,
Al0.304 Co1 Cr1 Fe1 Ni1,25.22066121,22.25193864,23.89913673,25.11795205,,,,3.510311366,,,,,,,,,,,,,,,,,,,FCC+B2,,other,7.6,T,25,860,1050,48,
